Semester,Jenis,Program,Judul,Pembimbing
2022/2023-2,Skripsi,Teknik Elektro Internasional,Perbandingan Model NMP Menggunakan Comphy dengan Peta Energi Aktivasi untuk Bias Temperature Instability Positif pada MOSFET SiC,"Dr.Eng. Ir. Arief Udhiarto, S.T., M.T."
2022/2023-2,Skripsi,Teknik Biomedik,Pengaruh Penambahan Ekstrak Kunyit dan Jahe terhadap Karakteristik Biologis Perancah Hyaluronic Acid/Kolagen/Alginat untuk Aplikasi Rekayasa Jaringan Tulang Rawan,"Siti Fauziyah Rahman,"
2022/2023-2,Skripsi,Teknik Komputer Reguler,Pengembangan Metode Monitoring Kerusakan Hutan Mangrove Menggunakan Fusi Data Penginderaan Jauh Synthetic Aperture Radar (SAR) dan Optis Berbasis Deep Learning,"Dr. Ir. Dodi Sudiana, M.Eng."
2022/2023-2,Skripsi,Teknik Komputer Reguler,Rancang Bangun Sistem Penerjemah Sistem Isyarat Bahasa Indonesia (SIBI) Berbasis Android Menjadi Teks Dengan MediaPipe dan Convolutional Neural Network,"Dr. Ir. Dodi Sudiana, M.Eng."
2022/2023-2,Skripsi,Teknik Elektro Reguler,Rancang Bangun Antena Horn pada X-band untuk Mengukur Konstanta Dielektrik Salinitas Air Menggunakan Sistem Pengukuran Free-space,"Prof. Dr. Ir. Fitri Yuli Zulkifli, ST., MSc"
2022/2023-2,Skripsi,Teknik Biomedik,Pengaruh Hidroksiapatit dan Biphasic Calcium Phosphate pada Karakteristik Biologi Perancah Kitosan/Hyaluronic Acid/Temulawak untuk Rekayasa Jaringan Tulang,"Siti Fauziyah Rahman,"
2022/2023-2,Skripsi,Teknik Komputer Reguler,Pengembangan Extension Chromium untuk Impor dan Pengumpulan Jadwal Kuliah SIAKNG ke Google Calendar dengan Kepatuhan Terhadap UU Perlindungan Data Pribadi,"Dr. Ruki Harwahyu, ST. MT. MSc."
2022/2023-2,Skripsi,Teknik Komputer Reguler,Automasi Instalasi Sistem Intrusion Detection System Mata Elang Menggunakan Vagrant,"Dr. Ruki Harwahyu, ST. MT. MSc."
2022/2023-2,Skripsi,Teknik Elektro Paralel,Karakterisasi Berkas Laser Semikonduktor ? = 532 nm Dalam Air dengan Variasi Tingkat Salinitas,"Prof.Dr.Ir. Retno Wigajatri Purnamaningsih, MT"
2022/2023-2,Skripsi,Teknik Komputer Reguler,Penggunaan CNN-Bidirectional GRU Dengan Manhattan Distance Serta Cosine Similarity Metrics Dalam Perancangan Sistem Penilaian Esai Otomatis (SIMPLE-O) Berbahasa Indonesia,"Prof. Dr. Ir. Anak Agung Putri Ratna, M.Eng"
2022/2023-2,Skripsi,Teknik Komputer Reguler,Pengembangan Sistem Penilaian Esai Otomatis (SIMPLE-O) pada Ujian Esai Bahasa Indonesia Menggunakan Stacked Bidirectional Gated Recurrent Unit dengan Manhattan Distance dan Cosine Similarity,"Prof. Dr. Ir. Anak Agung Putri Ratna, M.Eng"
2022/2023-2,Skripsi,Teknik Komputer Reguler,Pengembangan Model Deteksi dan Segmentasi Ikan Hasil Tangkapan Menggunakan MMDetection Toolbox untuk Sistem Fish Monitoring,"Dr. Eng. Mia Rizkinia, S.T, M.T."
2022/2023-2,Skripsi,Teknik Elektro Paralel,Desain Adaptive Extended Kalman Filter untuk Estimasi State of Charge Baterai Lithium-Ion,"Dr. Ir. Aries Subiantoro, M. SEE"
2022/2023-2,Skripsi,Teknik Elektro Paralel,Perancangan Stretegi Optimisasi Energi Manajemen Sistem Pada Kereta Hybrid Berbasis Diesel Elektrik Dengan Metode Dynamic Programming,"Dr. Ir. Aries Subiantoro, M. SEE"
2022/2023-2,Skripsi,Teknik Elektro Reguler,Menguji Dampak Variasi Hyperparameter Pada Penerapan Multi Agent Deep reinforcement Learning untuk Mengoptimasi Konsumsi Daya Sistem Penggerak Kereta,"Dr. Ir. Aries Subiantoro, M. SEE"
2022/2023-2,Skripsi,Teknik Biomedik,Rancang Bangun Sistem Pengukur Tekanan Darah Noninvasif Secara Wireless dari Sinyal Photoplethysmography (PPG) Menggunakan Sensor MAX30102,"Dr. Eng. Mia Rizkinia, S.T, M.T."
2022/2023-2,Skripsi,Teknik Elektro Reguler,Karakterisasi Berkas Laser Helium Neon Dalam Air dengan Berbagai Tingkat Salinitas,"Prof.Dr.Ir. Retno Wigajatri Purnamaningsih, MT"
2022/2023-2,Skripsi,Teknik Biomedik,"Rancang Bangun Gelang Pemantau Suhu, Denyut Nadi, dan Saturasi Oksigen Menggunakan Mikrokontroler Wemos D1 Mini","Dr. Basari, S.T., M.Eng."
2022/2023-2,Skripsi,Teknik Elektro Reguler,Rancangan Simulasi Pengendalian Kopling virtual Pada Model Kereta Dinamik Menggunakan Pengendali Fuzzy-PID,"Dr. Abdul Halim, M.Eng."
2022/2023-2,Skripsi,Teknik Biomedik,Perancangan qPCR Menggunakan Modifikasi Heating Block PocketPCR yang Terintegrasi dengan Sistem Deteksi Optik,"Tomy Abuzairi,"
2022/2023-2,Skripsi,Teknik Biomedik,Fabrikasi Perancah berbasis Kolagen dari Ekstrak King Kobia/Alginat/PVA,"dr. Puspita Anggraini Katili, M.Sc., Ph.D."
2022/2023-2,Skripsi,Teknik Elektro Paralel,Optimasi Speed Profile Kereta Menggunakan Algoritma Artificial Bee Colony,"Dr. Abdul Halim, M.Eng."
2022/2023-2,Skripsi,Teknik Biomedik,Rancangan Model Diagnosis Mikroskopik Parasit Malaria Plasmodium falciparum dengan Algoritma Convolutional Snapshot Ensemble,"Dr. Basari, S.T., M.Eng."
2022/2023-2,Skripsi,Teknik Elektro Reguler,Perancangan Profil Kecepatan Optimal pada Kereta Listrik dengan Differential Evolution Algorithm,"Dr. Abdul Halim, M.Eng."
2022/2023-2,Skripsi,Teknik Elektro Paralel,Optimasi Profil Kecepatan Kereta Listrik dengan Algoritma Teaching Learning Based Optimization,"Dr. Abdul Halim, M.Eng."
2022/2023-2,Skripsi,Teknik Biomedik,Rancangan Teknik Visualisasi Data Akuisisi Electrical Impedance Tomography (EIT) Menggunakan pyEIT dan Tkinter,"Dr. Basari, S.T., M.Eng."
2022/2023-2,Skripsi,Teknik Elektro Paralel,Implementasi Real Coded Genetic Algorithm dalam Optimasi Profil Kecepatan Kereta Listrik,"Dr. Abdul Halim, M.Eng."
2022/2023-2,Skripsi,Teknik Biomedik,Rancang Bangun Sistem Pengukuran Untuk Validasi Algoritma Sensitivity-Maps Pencitraan Gelombang Mikro,"Dr. Basari, S.T., M.Eng."
2022/2023-2,Skripsi,Teknik Biomedik,Pengembangan Aplikasi Visualisasi Data Fetal Elektrokardiogram Berbasis Bluetooth Menggunakan MIT App Inventor,"Tomy Abuzairi,"
2022/2023-2,Skripsi,Teknik Elektro Reguler,Rancang Bangun IoT Perangkat Pemantauan Kesehatan Lansia (Studi Kasus: Global Positioning System Dan Position Tracking,"Ir. Gunawan Wibisono, M.Sc., Ph.D"
2022/2023-2,Skripsi,Teknik Biomedik,Rancang Bangun Elektrokardiogram Lead Tunggal Portable Berbasis Bluetooth Dalam Mendeteksi Sinyal Simulator EKG SKX-2000+,"Tomy Abuzairi,"
2022/2023-2,Skripsi,Teknik Elektro Reguler,Disain Algoritma Manajemen Energi Berbasis State Machine dan Logika Fuzzy pada Sistem Kereta Hibrid,"Dr. Ir. Aries Subiantoro, M. SEE"
2022/2023-2,Skripsi,Teknik Komputer Reguler,Analisis Hasil Uji Penetrasi dengan Menggunakan Framework Penetration Testing Execution Standard (PTES) pada Website Redstorm.,"Prof. Dr. Ir. Riri Fitri Sari, MM. MSc."
2022/2023-2,Skripsi,Teknik Elektro Reguler,Rancang Bangun Sistem Presensi Berbasis Teknologi Face Recognition dengan Penerapan Deep Learning Sebagai Teknik Face Anti-Spoofing,"Ir. Gunawan Wibisono, M.Sc., Ph.D"
2022/2023-2,Skripsi,Teknik Elektro Reguler,Desain Strategi Manajemen Energi Kereta Hibrid Berbasis Pengendali Prediktif Nonlinier,"Dr. Ir. Aries Subiantoro, M. SEE"
2022/2023-2,Skripsi,Teknik Elektro Paralel,Disain Algoritma Control Unit Berbasis Pengendali Prediktif Multi Horizon Pada Sistem Kereta Hibrid,"Dr. Ir. Aries Subiantoro, M. SEE"
2022/2023-2,Skripsi,Teknik Biomedik,Ekstraksi Kolagen dari Kulit Ikan Salmon dan Sintesis Hidroksiapatit dari Tulang Ikan Tuna untuk Perancah Tulang,"dr. Puspita Anggraini Katili, M.Sc., Ph.D."
2022/2023-2,Skripsi,Teknik Elektro Reguler,Rancang Bangun Beamsteering Antena Array pada 5.9 GHz Untuk Aplikasi Komunikasi Vehicle-to-Everything (V2X),"Prof. Dr. Ir. Eko Tjipto Rahardjo, MSc"
2022/2023-2,Skripsi,Teknik Elektro Paralel,Desain dan Analisis Sistem Kendali Misil Berbasis Self-Organizing Map dan Deep Learning pada Simulasi Penerbangan Misil,"Prof. Dr. Benyamin Kusumo Putro, M. Eng"
2022/2023-2,Skripsi,Teknik Elektro Reguler,Rancang Bangun Quadband BPF dengan Konfigurasi Hairpin Four-Section Stepped Impedance Resonator,"Ir. Gunawan Wibisono, M.Sc., Ph.D"
2022/2023-2,Skripsi,Teknik Elektro Paralel,Pengembangan Deep Learning Neural Network sebagai Basis Sistem Identifikasi Misil Buatan,"Prof. Dr. Benyamin Kusumo Putro, M. Eng"
2022/2023-2,Skripsi,Teknik Elektro Paralel,Rancang Bangun Sistem Pemantauan Hidroponik Berbasis NarrowBand IoT (NB-IoT),"Prof. Dr. Ir. Muhamad Asvial, MEng."
2022/2023-2,Skripsi,Teknik Biomedik,Pengembangan Implan Total Hip Arthroplasty (THA) Melalui Proses Casting dengan Memanfaatkan Metode Elemen Hingga (MEH) dan Pengujian Dinamis,"dr. Puspita Anggraini Katili, M.Sc., Ph.D."
2022/2023-2,Skripsi,Teknik Elektro Paralel,Pengembangan Sistem Identifikasi Cessna-172P berbasis Deep Learning Neural Network,"Prof. Dr. Benyamin Kusumo Putro, M. Eng"
2022/2023-2,Skripsi,Teknik Biomedik,Pengembangan Model Klasifikasi Multicenter berbasis CNN untuk Deteksi COVID-19 pada Citra X-Ray Rongga Dada,"Dr. Eng. Mia Rizkinia, S.T, M.T."
2022/2023-2,Skripsi,Teknik Elektro Reguler,Rancang & Bangun Sistem Pemantauan Kualitas Air berbasis LoRaWAN,"Prof. Dr. Ir. Muhamad Asvial, MEng."
2022/2023-2,Skripsi,Teknik Elektro Reguler,Sistem Pengenal Aksi Berbasis Video Termal Menggunakan Algoritma PoseC3D dalam Mendeteksi Aksi Berbahaya Sederhana,"Prof. Dr. Benyamin Kusumo Putro, M. Eng"
2022/2023-2,Skripsi,Teknik Biomedik,Pengembangan Alat Ukur Konsentrasi Hemoglobin Non-Invasif Menggunakan Photoplethysmography dan Berbasis Machine Learning,"Tomy Abuzairi,"
2022/2023-2,Skripsi,Teknik Elektro Reguler,Estimasi State of Charge Baterai LiFePO4 dengan Metode Coulomb Counting dan Monitoring Menggunakan Aplikasi Smartphone,"Tomy Abuzairi,"
2022/2023-2,Skripsi,Teknik Elektro Paralel,Rancang Bangun Air Pollution Monitoring System Berbasis LPWAN di Daerah Urban,"Prof. Dr. Ir. Muhamad Asvial, MEng."
2022/2023-2,Skripsi,Teknik Elektro Reguler,Pengenalan Aksi Manusia Menggunakan PoseC3D untuk Mengenali Aksi Berbahaya Sederhana,"Prof. Dr. Benyamin Kusumo Putro, M. Eng"
2022/2023-2,Skripsi,Teknik Komputer Reguler,Rancang Bangun Forum Diskusi Online untuk E-Learning dengan Opsi Partisipasi Anonim dan Sistem Moderasi Otomatis Berbasis Bidirectional Encoder Representations from Transformers (BERT),"Prof. Dr. Ir. Anak Agung Putri Ratna, M.Eng"
2022/2023-2,Skripsi,Teknik Komputer Reguler,Perancangan Detektor Pengendara Motor Tanpa Helm Berbasis Pengolahan Citra dengan Metode YOLOv5,"Muhammad Firdaus Syawaludin Lubis, S.T., MT., Ph.D."
2022/2023-2,Skripsi,Teknik Komputer Reguler,Pengembangan Aplikasi Simulasi Rangkaian Listrik DC Open Source Berbasis Web,"Muhammad Firdaus Syawaludin Lubis, S.T., MT., Ph.D."
2022/2023-2,Skripsi,Teknik Komputer Reguler,Rancang Bangun Sistem Pemesanan Gift Box Berbasis Web dengan arsitektur MERN Stack,"Prof. Dr. Ir. Anak Agung Putri Ratna, M.Eng"
2022/2023-2,Skripsi,Teknik Komputer Reguler,Pengembangan Simple-O (Sistem Penilaian Esai Otomatis) Ujian Bahasa Jepang dengan Menggunakan DeepSpeech,"Prof. Dr. Ir. Anak Agung Putri Ratna, M.Eng"
2022/2023-2,Skripsi,Teknik Komputer Reguler,Pengembangan Model Deteksi Objek YOLOv6 dan Segmentasi YOLOv8 untuk Klasifikasi Ikan Hasil Tangkapan pada Sistem Fish Monitoring,"Dr. Eng. Mia Rizkinia, S.T, M.T."
2022/2023-2,Skripsi,Teknik Komputer Reguler,Pengembangan Model Deteksi dan Klasifikasi Jenis Ikan Hasil Tangkapan di Atas Kapal untuk Fish Monitoring System Berbasis YOLOv5,"Dr. Eng. Mia Rizkinia, S.T, M.T."
2022/2023-2,Skripsi,Teknik Biomedik,Pengembangan Biosensor Elektrokimia pada Screen Printed Carbon Electrode Modifikasi rGO/ZnO/TiO2 sebagai Pendeteksi Asam Urat,"Siti Fauziyah Rahman,"
2022/2023-2,Skripsi,Teknik Biomedik,"Sensor Elektrokimia Kolesterol Berbasis Screen Printed Carbon Electrode Modifikasi MWCNT, TiO2, dan NiO","Siti Fauziyah Rahman,"
2022/2023-2,Skripsi,Teknik Komputer Reguler,Rancang Bangun Sistem Deteksi Pencurian Tenaga Listrik Menggunakan Algoritma Klasifikasi Extreme Gradient Boosting (XGBoost) pada Data Pemakaian Listrik Pelanggan Pascabayar,"Yan Maraden, S.T., M.T., M.Sc."
2022/2023-2,Skripsi,Teknik Komputer Reguler,Evaluasi Implementasi Kafka dan RabbitMQ sebagai Message Broker pada Proyek Mata Elang,"Muhammad Firdaus Syawaludin Lubis, S.T., MT., Ph.D."
2022/2023-2,Skripsi,Teknik Komputer Reguler,Pengembangan Aplikasi Mobile Pendukung Operasional Penanganan Skoliosis Non-Operasi,"Muhammad Firdaus Syawaludin Lubis, S.T., MT., Ph.D."
2022/2023-2,Skripsi,Teknik Biomedik,Karakterisasi Fisika Kimia Perancah Hyaluronic Acid/Collagen/Alginate dengan Penambahan Ekstrak Kunyit dan Jahe,"Siti Fauziyah Rahman,"
2022/2023-2,Skripsi,Teknik Biomedik,Karakterisasi Fisika Kimia Perancah Chitosan/Hyaluronic Acid/Temulawak dengan Penambahan Hydroxyapatite dan Biphasic Calcium Phosphate,"Siti Fauziyah Rahman,"
2022/2023-2,Skripsi,Teknik Biomedik,"Karakterisasi Fisika Kimia Perancah Kolagen/Alginat/Poly(Vinyl Alcohol) dengan Penambahan Material MWCNT, rGO, TiO2, dan ZnO","Siti Fauziyah Rahman,"
2022/2023-2,Skripsi,Teknik Elektro Reguler,Desain dan Analisis Pengembangan Sistem Kendali Otonom Quadcopter Dalam Simulator Gazebo Menggunakan Metode Direct Inverse Control Berbasis Deep Neural Network dan Long-Short Term Memory,"Prof. Dr. Benyamin Kusumo Putro, M. Eng"
2022/2023-2,Skripsi,Teknik Komputer Reguler,Pengembangan “EDUNITY” Sistem Manajemen E-learning Berbasis iOS Menggunakan Framework UIKit dan Firebase,"Prof. Dr. Ir. Anak Agung Putri Ratna, M.Eng"
2022/2023-2,Skripsi,Teknik Elektro Internasional,Rancang Bangun Sensor Konduktivitas Listrik dan Sistem Otomasi Hidroponik Menggunakan Mikrokontroler ESP32,"Taufiq Alif Kurniawan, MSc.Eng"
2022/2023-2,Skripsi,Teknik Elektro Internasional,A 920 MHz RF-to-DC Rectifier Circuit Design as Radio Frequency Energy Harvesting Module for Agriculture Application,"Taufiq Alif Kurniawan, MSc.Eng"
2022/2023-2,Skripsi,Teknik Elektro Reguler,Rancang Bangun Sistem Pemantauan Dan Pengendalian Nutrisi Sistem Hidroponik Berbasis IoT Menggunakan Algoritma Fuzzy Logic,"Taufiq Alif Kurniawan, MSc.Eng"
2022/2023-2,Skripsi,Teknik Komputer Reguler,Analisis Perbandingan Implementasi Project Mata Elang pada Platform Cloud dan On-Premise,"Muhammad Firdaus Syawaludin Lubis, S.T., MT., Ph.D."
2022/2023-2,Skripsi,Teknik Komputer Reguler,"Analisis Perbandingan Performa Basis Data Postgresql, Cassandra, serta MongoDB pada Platform Cloud","Dr. Ruki Harwahyu, ST. MT. MSc."
2022/2023-2,Skripsi,Teknik Komputer Reguler,Perancangan Migrasi Arsitektur Monolitik Ke Microservices Pada Automation Messaging System: Studi Perbandingan Aplikasi Sesudah Dan Sebelum Dilakukan Migrasi,"Dr. Ruki Harwahyu, ST. MT. MSc."
2022/2023-2,Skripsi,Teknik Komputer Reguler,Pengembangan Sistem Deteksi Multi Objek Jenis Ikan pada Video Berbasis YOLOv7,"Dr. Prima Dewi Purnamasari, ST MT MSc"
2022/2023-2,Skripsi,Teknik Komputer Reguler,Rancang Bangun Sistem Chatbot Berbasis Kombinasi Algoritma 1-Dimensional Convolutional Neural Networks dan String Matching 2-Level,"Dr. Prima Dewi Purnamasari, ST MT MSc"
2022/2023-2,Skripsi,Teknik Elektro Reguler,Studi Penerapan Penerangan Jalan Umum Pintar dengan Fitur Manajemen Intensitas Cahaya pada Jalan Lingkar Universitas Indonesia,"Dr.Ing Budi Sudiarto, ST., MT."
2022/2023-2,Skripsi,Teknik Elektro Paralel,Perancangan Sistem Kelistrikan IKN Berbasis Isolated Microgrid dengan Mempertimbangkan Aspek Biaya dan Emisi Karbon,"Ir. I Made Ardita Y, M.T."
2022/2023-2,Skripsi,Teknik Elektro Paralel,Perancangan Sistem Tenaga Listrik Ibu Kota Nusantara Berbasis Grid-Connected Microgrid dengan Mempertimbangkan Aspek Biaya dan Emisi Karbon,"Ir. I Made Ardita Y, M.T."
2022/2023-2,Skripsi,Teknik Elektro Paralel,Analisis Pengujian Minyak Transformator dengan Metode Furan untuk Mengetahui Sisa Umur Transformator,"Ir. I Made Ardita Y, M.T."
2022/2023-2,Skripsi,Teknik Elektro Paralel,Optimasi Penetrasi PLTS Atap pada Jaringan Distribusi Tegangan Menengah dengan Pemasangan Battery Energy Storage System (BESS) Secara Terpusat sebagai Ancillary Services,"Ir. I Made Ardita Y, M.T."
2022/2023-2,Skripsi,Teknik Elektro Paralel,Studi Pengaruh Pemasangan Battery Energy Storage System (BESS) Secara Terdistribusi Sebagai Ancillary Services untuk Memaksimalkan Penetrasi PLTS pada Jaringan Distribusi Tegangan Menengah,"Ir. I Made Ardita Y, M.T."
2022/2023-2,Skripsi,Teknik Elektro Reguler,Rancang Bangun Alat Budidaya Jamur Tiram Berbasis Internet of Things untuk Skala Rumah Tangga,"Taufiq Alif Kurniawan, MSc.Eng"
2022/2023-2,Skripsi,Teknik Elektro Reguler,Rancang Bangun Sistem Hidroponik Modular dengan Protokol ARQ pada Lapisan Network of Things untuk Peningkatan Reliabilitas Sistem Komunikasi,"Taufiq Alif Kurniawan, MSc.Eng"
2022/2023-2,Skripsi,Teknik Elektro Reguler,Studi Perancangan Sistem PLTS Hybrid dengan Sistem Penyimpanan Baterai pada Gedung Produksi II PT. ON,"Ir. Agus R. Utomo, M.T."
2022/2023-2,Skripsi,Teknik Elektro Reguler,Studi Perancangan dan Optimasi Sistem Pembangkit Listrik Tenaga Surya Atap On-Grid Tanpa Baterai pada Gedung Produksi II PT. OC,"Ir. Agus R. Utomo, M.T."
2022/2023-2,Skripsi,Teknik Elektro Reguler,Studi Karakteristik Operasional Gas Turbine Generator (GTG) G101B pada Area Onshore di Perusahaan Minyak dan Gas,"Ir. Agus R. Utomo, M.T."
2022/2023-2,Skripsi,Teknik Elektro Reguler,Studi Rekonfigurasi Jaringan dan Stabilitas Sistem Tenaga Listrik pada Area Anjungan Lepas Pantai di Sumatera Utara,"Ir. Agus R. Utomo, M.T."
2022/2023-2,Skripsi,Teknik Elektro Reguler,Studi Analisis dan Perancangan Koordinasi Proteksi Rele Arus Lebih untuk Peningkatan Operasional Sistem Tenaga Listrik: Studi Kasus Sistem Kelistrikan Anjungan Lepas Pantai,"Ir. Agus R. Utomo, M.T."
2022/2023-2,Skripsi,Teknik Elektro Paralel,Pengembangan Aplikasi Web Klasifikasi Lesi Kulit dengan Menggunakan Transfer Learning Arsitektur InceptionResNetv2,"Prof. Dr. Ir. Fitri Yuli Zulkifli, ST., MSc"
2022/2023-2,Skripsi,Teknik Elektro Paralel,Perancangan Virtual Power Plant di Universitas Indonesia dengan Mempertimbangkan Mutu Pelayanan Tegangan untuk Optimalisasi Biaya Kelistrikan,"Ir. I Made Ardita Y, M.T."
2022/2023-2,Skripsi,Teknik Elektro Reguler,Perancangan Virtual Power Plant di Kawasan Industri Pulo Gadung dengan Mempertimbangkan Biaya Kelistrikan dan Keandalan,"Ir. I Made Ardita Y, M.T."
2022/2023-2,Skripsi,Teknik Elektro Reguler,Studi Optimalisasi dan Perancangan Virtual Power Plant di Kawasan Industri Berikat Nusantara dengan Mempertimbangkan Performa Ekonomi,"Ir. I Made Ardita Y, M.T."
2022/2023-2,Skripsi,Teknik Elektro Reguler,Perancangan Virtual Power Plant di Kawasan Bisnis Sudirman Central Business District (SCBD) dengan Mempertimbangkan Ekonomi dan Kadar CO2,"Ir. I Made Ardita Y, M.T."
2022/2023-2,Skripsi,Teknik Elektro Reguler,Studi Efek Total Harmonic Distortion (THD) Pada Transformator 630kVA Stasiun Layang Blok M Pada PT. MRT Jakarta,"Prof. Ir. Rinaldy Dalimi, M.Sc. Ph.D."
2022/2023-2,Skripsi,Teknik Elektro Reguler,Analisis Performa Transformator dengan Memperhatikan Kandungan Gas pada Minyak Trafo Menggunakan Metode Dissolved Gas Analysis (DGA),"Ir. I Made Ardita Y, M.T."
2022/2023-2,Skripsi,Teknik Elektro Paralel,Analisis Tekno-Ekonomi Penetrasi PLTS-BESS Pada PLTMG Existing Wilayah Eksplorasi Gas Bumi Pulau Pagerungan Besar,"Prof. Dr. Ir. Rudy Setiabudy, DEA"
2022/2023-2,Skripsi,Teknik Elektro Paralel,Analisis Perancangan dan Ekonomi Sistem Pembangkit Listrik Tenaga Surya (PLTS) Atap On-Grid pada Gedung Pabrik,"Prof. Dr. Ir. Rudy Setiabudy, DEA"
2022/2023-1,Skripsi,Teknik Komputer Reguler,Perbandingan Model Transfer Learning pada Klasifikasi Citra Ikan Menggunakan InceptionV3 dan EfficientNetV2L,"Dr. Eng. Mia Rizkinia, S.T, M.T."
2022/2023-1,Skripsi,Teknik Elektro Reguler,Analisis Tekno-Ekonomi Stasiun Penukaran Baterai Kendaraan Listrik Roda Dua Dengan Memanfaatkan PLTS Terapung: Studi Kasus Jakarta,"Dr.-Ing Eko Adhi Setiawan,"
2022/2023-1,Skripsi,Teknik Elektro Internasional,Perancangan Sistem IoT Berbasis Node-RED untuk Smart Home Control System,"Dr. Abdul Halim, M.Eng."
2022/2023-1,Skripsi,Teknik Komputer Reguler,Rancang Bangun Sistem Notifikasi Pesan Pengenalan Isyarat Tangan Pasien Menggunakan Long Short-Term Memory (LSTM) dan MediaPipe,
2022/2023-1,Skripsi,Teknik Komputer Reguler,Rancang Bangun Sistem Notifikasi dan Pemantauan Ruang Server LLDIKTI Wilayah III Jakarta Berbasis Platform Internet of Things (Iot) Thingsboard,
2022/2023-1,Skripsi,Teknik Komputer Reguler,Rancang Bangun Sistem Monitoring dan Notifikasi Penggunaan Air Pada Water Flow Meter dengan Komunikasi LoRa,
2022/2023-1,Skripsi,Teknik Komputer Reguler,Analisis Perbandingan Algoritma K-Nearest Neighbors dan Logistic Regression Terhadap Identifikasi Pelanggaran Penggunaan Listrik,"I Gde Dharma Nugraha, S.T., M.T., Ph.D"
2022/2023-1,Skripsi,Teknik Komputer Reguler,Perancangan Sistem Identifikasi Penyakit Kulit Menggunakan dengan model AlexNet,"Dr. Prima Dewi Purnamasari, ST MT MSc"
2022/2023-1,Skripsi,Teknik Elektro Reguler,Analisis Pengaruh Kecepatan dan Beban Resistif Generator DC pada Sistem Pengereman Regeneratif Dalam Pengisian Superkapasitor,"Prof. Dr. Ir. Iwa Garniwa M. K., MT."
2022/2023-1,Skripsi,Teknik Elektro Reguler,Pengembangan Sistem Monitoring Konsentrator Oksigen berbasis ESP32 Soft Access Point,"Tomy Abuzairi,"
2022/2023-1,Skripsi,Teknik Biomedik,Pengaruh Penambahan ZnO dan TiO2 terhadap Karakteristik Biologis Perancah Komposit Kolagen Ikan King Kobia/Kitosan/Hidroksiapatit,"Siti Fauziyah Rahman,"
2022/2023-1,Skripsi,Teknik Elektro Paralel,Rancang Bangun Smart Infus dengan Menggunakan Load Cell,"Prof.Dr.Ir. Retno Wigajatri Purnamaningsih, MT"
2022/2023-1,Skripsi,Teknik Elektro Reguler,Rancang Bangun Sistem Pengukuran Konsentrasi Hemoglobin Noninvasif Menggunakan Sensor Photoplethysmography Berbasis Machine Learning,"Tomy Abuzairi,"
2022/2023-1,Skripsi,Teknik Elektro Paralel,Studi Evaluasi Sistem Proteksi Petir Eksternal Pada Kawasan Perkantoran INDY Bintaro Office Park,"Aji Nur Widyanto, ST., MT."
2022/2023-1,Skripsi,Teknik Elektro Paralel,STUDI EVALUASI PENERANGAN JALAN UMUM di WILAYAH PERKOTAAN (STUDI KASUS JALAN GAJAH MADA KOTA PONTIANAK),"Aji Nur Widyanto, ST., MT."
2022/2023-1,Skripsi,Teknik Elektro Internasional,Design Solar Panel atap untuk gedung komersial (CASE STUDY ON BANK MEGA SYARIAH TOWER),"Aji Nur Widyanto, ST., MT."
2022/2023-1,Skripsi,Teknik Elektro Internasional,"Desain Dari Sistem PV Industri Kontrol Satelit Menggunakan HOMER Pro, Studi Kasus Di PT. Transvision","Aji Nur Widyanto, ST., MT."
2022/2023-1,Skripsi,Teknik Elektro Reguler,Studi Perancangan Pembangkit Listrik Tenaga Surya Atap Pada Gedung Puskesmas Kecamatan Tanjung Priok,"Ir. Chairul Hudaya, ST, M.Eng, Ph.D, IPM"
2022/2023-1,Skripsi,Teknik Elektro Reguler,Pengembangan dan Analisis Segmentasi Lesi Kulit Menggunakan Arsitektur Recurrent Residual U-Net (R2U-Net),"Ajib Setyo Arifin, Ph.D."
2022/2023-1,Skripsi,Teknik Komputer Reguler,Rancang Bangun Sedari: Sistem Pemantauan Kejadian Jatuh Menggunakan Divais Wearable dan Pengingat Lansia di Daerah Residensial Berbasis Internet of Things dan Aplikasi Android,"Fransiskus Astha Ekadiyanto, S.T. M.Sc."
2022/2023-1,Skripsi,Teknik Elektro Reguler,"Optimasi Pendeteksian COVID-19 Tiga Kelas Berbasis Ensemble Model Menggunakan Chest X-Ray dengan Arsitektur Xception, Inception-V3, NASNet Large, dan Inception Resnet-V2","Ajib Setyo Arifin, Ph.D."
2022/2023-1,Skripsi,Teknik Elektro Reguler,Desain Sistem Pemantauan dan Pengendalian Hidroponik Modular Berbasis Internet of Things,"Taufiq Alif Kurniawan, MSc.Eng"
2022/2023-1,Skripsi,Teknik Elektro Reguler,Pengembangan Arsitektur Stack Ensemble dengan Residual Connection dan Voting Classifier pada Klasifikasi Prognosis Kanker Payudara menggunakan Multi-Modal Data,"Ajib Setyo Arifin, Ph.D."
2022/2023-1,Skripsi,Teknik Komputer Reguler,Rancang Bangun Sistem Web of Things yang Memanfaatkan Protokol HTTP dengan Webthings Framework,"Dr. Yohan Suryanto, ST. MT."
2022/2023-1,Skripsi,Teknik Komputer Reguler,Rancang Bangun Sistem Rekam Sertifikat Berbasis Web dengan Blockchain pada Jaringan Tes Avalanche,"Fransiskus Astha Ekadiyanto, S.T. M.Sc."
